"SR. NO 
","EFFECTIVE DATE 
","SYMBOL 
","SECURITY NAME 
","FROM 
","TO 
"
238,"27-JUN-2024","SOMICONVEY","SOMI CONVEYOR BELTINGS LIMITED","20","10"
239,"27-JUN-2024","SIMBHALS","SIMBHAOLI SUGARS LIMITED","20","5"
240,"27-JUN-2024","RILINFRA","RACHANA INFRASTRUCTURE LIMITED","10","5"
241,"27-JUN-2024","NILASPACES","NILA SPACES LIMITED","5","2"
242,"27-JUN-2024","MOHITIND","MOHIT INDUSTRIES LIMITED","10","5"
243,"27-JUN-2024","GSMFOILS","GSM FOILS LIMITED","10","5"
244,"27-JUN-2024","DGCONTENT","DIGICONTENT LIMITED","10","5"
245,"27-JUN-2024","CORDSCABLE","CORDS CABLE INDUSTRIES LIMITED","20","5"
246,"26-JUN-2024","SVPGLOB","SVP GLOBAL TEXTILES LIMITED","10","5"
247,"26-JUN-2024","SPECTRUM","SPECTRUM ELECTRICAL INDUSTRIES LIMITED","10","5"
248,"26-JUN-2024","SLONE","SLONE INFOSYSTEMS LIMITED","20","10"
249,"26-JUN-2024","SAAKSHI","SAAKSHI MEDTECH AND PANELS LIMITED","20","10"
250,"26-JUN-2024","MOHITIND","MOHIT INDUSTRIES LIMITED","20","10"
251,"26-JUN-2024","LGBFORGE","LGB FORGE LIMITED","10","5"
252,"26-JUN-2024","K2INFRA","K2 INFRAGEN LIMITED","10","5"
253,"26-JUN-2024","BYKE","THE BYKE HOSPITALITY LTD","10","5"
254,"26-JUN-2024","ANLON","ANLON TECHNOLOGY SOLUTIONS LIMITED","20","10"
255,"26-JUN-2024","AIMTRON","AIMTRON ELECTRONICS LIMITED","10","5"
256,"25-JUN-2024","ZTECH","Z-TECH (INDIA) LIMITED","10","5"
257,"25-JUN-2024","ZODIACLOTH","ZODIAC CLOTHING COMPANY LIMITED","20","10"
258,"25-JUN-2024","ZENITHEXPO","ZENITH EXPORTS LIMITED","5","2"
259,"25-JUN-2024","WINDMACHIN","WINDSOR MACHINES LIMITED","10","5"
260,"25-JUN-2024","TREJHARA","TREJHARA SOLUTIONS LIMITED","5","2"
261,"25-JUN-2024","TCIFINANCE","TCI FINANCE LIMITED","5","2"
262,"25-JUN-2024","SURANAT&P","SURANA TELECOM AND POWER LIMITED","10","5"
263,"25-JUN-2024","SPECTSTM","SPECTRUM TALENT MANAGEMENT LIMITED","20","10"
264,"25-JUN-2024","SHRADHA","SHRADHA INFRAPROJECTS LIMITED","10","5"
265,"25-JUN-2024","PKTEA","THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED","20","10"
266,"25-JUN-2024","OMAXE","OMAXE LIMITED","10","5"
267,"25-JUN-2024","KRONOX","KRONOX LAB SCIENCES LIMITED","5","20"
268,"25-JUN-2024","KALYANIFRG","KALYANI FORGE LIMITED","10","5"
269,"25-JUN-2024","FELIX","FELIX INDUSTRIES LIMITED","10","5"
270,"25-JUN-2024","DGCONTENT","DIGICONTENT LIMITED","5","10"
271,"25-JUN-2024","CELLECOR","CELLECOR GADGETS LIMITED","10","5"
272,"25-JUN-2024","ABSMARINE","ABS MARINE SERVICES LIMITED","20","10"
273,"24-JUN-2024","ZODIAC","ZODIAC ENERGY LIMITED","2","5"
274,"24-JUN-2024","VIJIFIN","VIJI FINANCE LIMITED","2","5"
275,"24-JUN-2024","TIRUPATIFL","TIRUPATI FORGE LIMITED","10","5"
276,"24-JUN-2024","TIMESGTY","TIMES GUARANTY LIMITED","5","10"
277,"24-JUN-2024","TBI","TBI CORN LIMITED","5","10"
278,"24-JUN-2024","SHRADHA","SHRADHA INFRAPROJECTS LIMITED","20","10"
279,"24-JUN-2024","SETCO","SETCO AUTOMOTIVE LIMITED","2","5"
280,"24-JUN-2024","SALSTEEL","S.A.L. STEEL LIMITED","2","5"
281,"24-JUN-2024","SABEVENTS","SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED","2","5"
282,"24-JUN-2024","RPPINFRA","R.P.P. INFRA PROJECTS LIMITED","5","20"
283,"24-JUN-2024","REGENCERAM","REGENCY CERAMICS LIMITED","2","5"
284,"24-JUN-2024","RAJTV","RAJ TELEVISION NETWORK LIMITED","2","5"
285,"24-JUN-2024","PREMEXPLN","PREMIER EXPLOSIVES LIMITED","10","5"
286,"24-JUN-2024","MODTHREAD","MODERN THREADS (INDIA) LIMITED","2","5"
287,"24-JUN-2024","LGBFORGE","LGB FORGE LIMITED","20","10"
288,"24-JUN-2024","LEMERITE","LE MERITE EXPORTS LIMITED","20","10"
289,"24-JUN-2024","KRIDHANINF","KRIDHAN INFRA LIMITED","2","5"
290,"24-JUN-2024","KORE","JAY JALARAM TECHNOLOGIES LIMITED","10","20"
291,"24-JUN-2024","JAIPURKURT","NANDANI CREATION LIMITED","2","5"
292,"24-JUN-2024","CTE","CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED","5","20"
293,"24-JUN-2024","BOROSCI","BOROSIL SCIENTIFIC LIMITED","5","20"
294,"24-JUN-2024","ALPSINDUS","ALPS INDUSTRIES LIMITED","2","5"
295,"21-JUN-2024","VILAS","VILAS TRANSCORE LIMITED","20","10"
296,"21-JUN-2024","THOMASCOTT","THOMAS SCOTT (INDIA) LIMITED","5","2"
297,"21-JUN-2024","TERASOFT","TERA SOFTWARE LIMITED","20","5"
298,"21-JUN-2024","SONAMAC","SONA MACHINERY LIMITED","20","10"
299,"21-JUN-2024","OMAXAUTO","OMAX AUTOS LIMITED","5","2"
300,"21-JUN-2024","KAPSTON","KAPSTON SERVICES LIMITED","10","5"
301,"21-JUN-2024","K2INFRA","K2 INFRAGEN LIMITED","20","10"
302,"21-JUN-2024","FACT","FERTILIZERS AND CHEMICALS TRAVANCORE LIMITED","20","10"
303,"21-JUN-2024","DIGIDRIVE","DIGIDRIVE DISTRIBUTORS LIMITED","5","2"
304,"21-JUN-2024","DELPHIFX","DELPHI WORLD MONEY LIMITED","5","2"
305,"21-JUN-2024","AIMTRON","AIMTRON ELECTRONICS LIMITED","5","10"
306,"20-JUN-2024","ZTECH","Z-TECH (INDIA) LIMITED","5","10"
307,"20-JUN-2024","WINDMACHIN","WINDSOR MACHINES LIMITED","20","10"
